card_id,card_name,quantity,special_type,is_ex,rarity,source_screenshot,ambiguity_category,candidate_sets,candidate_packs,candidate_card_numbers_by_set,confirmed_set_code,confirmed_card_number,confirmed_yes_no
blaziken_unknown_unknown_v1,Blaziken,1,unknown,FALSE,unknown,IMG_1524.PNG,two-pack,B1|B3,Mega Blaziken|Pulsing Aura,B1: #35; B3: #208,B3,208,Yes
skrelp_unknown_unknown_v1,Skrelp,1,unknown,FALSE,unknown,IMG_1524.PNG,multi-set,A4a|B1|B3,Mega Blaziken|Pulsing Aura|Secluded Springs,A4a: #53; B1: #159; B3: #218,B3,218,Yes
bulbasaur_unknown_unknown_v1,Bulbasaur,1,unknown,FALSE,one_diamond,IMG_1524.PNG,special-art-vs-regular,A1|A3|A4b|B1a,Crimson Blaze|Deluxe Pack: ex|Mewtwo|Solgaleo,"A1: #1,227; A3: #210; A4b: #1,2; B1a: #1",A1,227,Yes
shroomish_unknown_unknown_v1,Shroomish,1,unknown,FALSE,unknown,IMG_1524.PNG,shared-pool,B1|B3,Pulsing Aura|shared (all packs),"B1: #11; B3: #11,158",B3,158,Yes
morpeko_unknown_unknown_v1,Morpeko,1,unknown,FALSE,unknown,IMG_1525.PNG,two-pack,B2b|B3,Mega Shine|Pulsing Aura,"B2b: #45,73; B3: #62,164",B3,164,Yes
riolu_unknown_unknown_v1,Riolu,1,unknown,FALSE,unknown,IMG_1525.PNG,special-art-vs-regular,A2|A2b|A4b|B3,Deluxe Pack: ex|Dialga|Pulsing Aura|Shining Revelry,"A2: #91; A2b: #42,104; A4b: #210,211; B3: #79,169",B3,169,Yes
meltan_unknown_unknown_v1,Meltan,1,unknown,FALSE,unknown,IMG_1525.PNG,multi-set,A1|A3b|B1|B3,Charizard|Eevee Grove|Mega Gyarados|Pulsing Aura,"A1: #181; A3b: #49; B1: #173; B3: #122,177",B3,177,Yes
marowak_unknown_unknown_v1,Marowak,1,unknown,TRUE,unknown,IMG_1525.PNG,two-pack,A1|A3,Lunala|Mewtwo,A1: #152; A3: #227,A1/A4b,"226, 353",Yes
vaporeon_unknown_unknown_v1,Vaporeon,1,unknown,TRUE,unknown,IMG_1526.PNG,special-art-vs-regular,A1|A1a|A3b|A4|A4b,Deluxe Pack: ex|Eevee Grove|Lugia|Mew|Mewtwo,"A1: #80; A1a: #19,72; A3b: #16,72; A4: #216; A4b: #99,100",B3,37,Yes
eelektross_unknown_unknown_v1,Eelektross,1,unknown,FALSE,unknown,IMG_1526.PNG,two-pack,A1|A4a,Mewtwo|Secluded Springs,A1: #109; A4a: #28,A1,109,Yes
charizard_unknown_unknown_v1,Charizard,1,unknown,FALSE,unknown,IMG_1526.PNG,two-pack,A1|B1a,Charizard|Crimson Blaze,"A1: #35; B1a: #13,91",B1a,13,Yes
meloetta_unknown_unknown_v1,Meloetta,3,unknown,FALSE,unknown,IMG_1527.PNG,two-pack,B2|B3,Fantastical Parade|Pulsing Aura,"B2: #70,233; B3: #89,170",B3,89,Yes
crobat_unknown_unknown_v1,Crobat,1,unknown,FALSE,unknown,IMG_1527.PNG,special-art-vs-regular,A2a|A4b|B3,Arceus|Deluxe Pack: ex|Pulsing Aura,"A2a: #50; A4b: #230,231; B3: #100,214",B3,100,Yes
stoutland_unknown_unknown_v1,Stoutland,1,unknown,FALSE,unknown,IMG_1527.PNG,multi-set,A3a|B1|B3,Extradimensional Crisis|Mega Altaria|Pulsing Aura,"A3a: #56; B1: #203,249; B3: #139",B3,139,Yes
sandslash_unknown_unknown_v1,Sandslash,2,unknown,FALSE,unknown,IMG_1527.PNG,multi-set-with-shared,A1|B1|B1a|B2,Crimson Blaze|Fantastical Parade|shared (all packs),A1: #138; B1: #123; B1a: #95; B2: #78,A1,138,Yes
onix_unknown_unknown_v1,Onix,1,unknown,FALSE,unknown,IMG_1527.PNG,multi-set,A1|A4|B1a|B3,Crimson Blaze|Ho-Oh|Pikachu|Pulsing Aura,A1: #150; A4: #92; B1a: #38; B3: #211,A1,150,Yes
giovanni_unknown_unknown_v1,Giovanni,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A1|A4b,Deluxe Pack: ex|Mewtwo,"A1: #223,270; A4b: #334,335",A1/A4b,"223, 334",Yes
sabrina_unknown_unknown_v1,Sabrina,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A1|A4b,Charizard|Deluxe Pack: ex,"A1: #225,272; A4b: #338,339",A1/A4b,"225, 338",Yes
leaf_unknown_unknown_v1,Leaf,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A1a|A4b,Deluxe Pack: ex|Mew,"A1a: #68,82; A4b: #346,347",A1a/A4b,"068, 346",Yes
cyrus_unknown_unknown_v1,Cyrus,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A2|A4b,Deluxe Pack: ex|Palkia,"A2: #150,190; A4b: #326,327",A2/A4b,"150, 326",Yes
rare_candy_unknown_unknown_v1,Rare Candy,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A3|A4b,Deluxe Pack: ex|shared (all packs),"A3: #144; A4b: #314,315,379",A3/A4b,"144, 314",Yes
lillie_unknown_unknown_v1,Lillie,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A3|A4b,Deluxe Pack: ex|Solgaleo,"A3: #155,197,209; A4b: #348,349,374",A3/A4b,"155, 348",Yes
giant_cape_unknown_unknown_v1,Giant Cape,1,unknown,FALSE,unknown,IMG_1528.PNG,special-art-vs-regular,A2|A4b,Deluxe Pack: ex|Dialga,"A2: #147; A4b: #320,321",A2/A4b,"147, 320",Yes
flame_patch_unknown_unknown_v1,Flame Patch,2,unknown,FALSE,unknown,IMG_1529.PNG,within-set-shared,B1,Mega Blaziken|shared (all packs),"B1: #217,331",B1,217,Yes
ivysaur_unknown_unknown_v1,Ivysaur,1,unknown,FALSE,two_diamond,IMG_1529.PNG,special-art-vs-regular,A1|A3|A4b|B1a,Crimson Blaze|Deluxe Pack: ex|Mewtwo|Solgaleo,"A1: #2; A3: #211; A4b: #3,4; B1a: #2",B1a,2,Yes
magneton_unknown_unknown_v1,Magneton,1,unknown,FALSE,two_diamond,IMG_1529.PNG,special-art-vs-regular,A1|A2|A2a|A4|A4b|B1a|B3,Arceus|Crimson Blaze|Deluxe Pack: ex|Lugia|Pikachu|Pulsing Aura|shared (all packs),"A1: #98; A2: #52; A2a: #54; A4: #218; A4b: #135,136; B1a: #25; B3: #53",B1a,25,Yes
mismagius_unknown_unknown_v1,Mismagius,2,unknown,FALSE,two_diamond,IMG_1530.PNG,multi-set-with-shared,A4a|B1|B1a,Crimson Blaze|Secluded Springs|shared (all packs),A4a: #33; B1: #100; B1a: #31,B1a,31,Yes
hariyama_unknown_unknown_v1,Hariyama,2,unknown,FALSE,two_diamond,IMG_1530.PNG,multi-set-with-shared,A3|B1|B1a,Crimson Blaze|Mega Blaziken|shared (all packs),A3: #91; B1: #127; B1a: #40,B1a,40,Yes
garbodor_unknown_unknown_v1,Garbodor,3,unknown,FALSE,unknown,IMG_1530.PNG,multi-set-with-shared,A3|B1a|B2b,Crimson Blaze|Mega Shine|shared (all packs),A3: #114; B1a: #50; B2b: #42,B1a,50,Yes
steelix_unknown_unknown_v1,Steelix,3,unknown,FALSE,unknown,IMG_1530.PNG,multi-set,A4|B1a|B3,Crimson Blaze|Ho-Oh|Pulsing Aura,A4: #122; B1a: #51; B3: #219,B1a,51,Yes
