entry_id,name,count,type,card_type,stage,hp,is_ex,attack,variant,trainer_subtype,match_status,match_confidence,candidate_count,unique_packs,unique_expansions,candidate_summary,recommended_resolution
charmander,Charmander,4,Fire,Pokemon,0,60,False,Bite 40,,,ambiguous_cross_set,low,3,Crimson Blaze | Mega Shine,Crimson Blaze | Mega Shine,B1a/11 Crimson Blaze (Crimson Blaze) [one_diamond]; B2b/7 Mega Shine (Mega Shine) [one_diamond]; B2b/91 Mega Shine (Mega Shine) [one_star],needs_card_number
charmander_flame_tail_art,Charmander,2,Fire,Pokemon,0,70,False,Flame Tail 30,Flame Tail art,,ambiguous_cross_set,low,3,Crimson Blaze | Mega Shine,Crimson Blaze | Mega Shine,B1a/11 Crimson Blaze (Crimson Blaze) [one_diamond]; B2b/7 Mega Shine (Mega Shine) [one_diamond]; B2b/91 Mega Shine (Mega Shine) [one_star],needs_card_number
charmeleon,Charmeleon,2,Fire,Pokemon,1,80,False,Slash 40,,,ambiguous_cross_set,low,3,Crimson Blaze | Mega Shine,Crimson Blaze | Mega Shine,B1a/12 Crimson Blaze (Crimson Blaze) [two_diamond]; B2b/8 Mega Shine (Mega Shine) [two_diamond]; B2b/92 Mega Shine (Mega Shine) [one_star],needs_card_number
charizard,Charizard,1,Fire,Pokemon,2,150,False,Inferno Onrush 150,,,unanimous_pack,medium,2,Crimson Blaze,Crimson Blaze,B1a/13 Crimson Blaze (Crimson Blaze) [three_diamond]; B1a/91 Crimson Blaze (Crimson Blaze) [one_star],no_action_needed
mega_charizard_y_ex,Mega Charizard Y ex,2,Fire,Pokemon,2,220,True,Crimson Dive 250,,,unanimous_pack,medium,3,Crimson Blaze,Crimson Blaze,B1a/14 Crimson Blaze (Crimson Blaze) [four_diamond]; B1a/77 Crimson Blaze (Crimson Blaze) [double_star]; B1a/87 Crimson Blaze (Crimson Blaze) [triple_star],no_action_needed
tepig,Tepig,2,Fire,Pokemon,0,60,False,Stoke,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/26 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/161 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
pignite,Pignite,4,Fire,Pokemon,1,100,False,Magma Punch 60,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/27 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
incineroar_ex,Incineroar ex,1,Fire,Pokemon,2,180,True,Scar-Charged Smash 80+,,,exact_match,high,1,Mega Gyarados,Mega Rising,B1/318 Mega Rising (Mega Gyarados) [double_star],no_action_needed
houndour,Houndour,1,Fire,Pokemon,0,60,False,Roar,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/15 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
houndoom,Houndoom,1,Fire,Pokemon,1,90,False,Sharp Fang 50,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/16 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
