entry_id,name,count,type,card_type,trainer_subtype,hp,attack,variant,is_ex,match_status,candidate_count,candidate_summary,recommended_resolution,confirmed_set_code,confirmed_card_number,confirmed_pack_name,confirmed_yes_no,user_notes
marowak_ex,Marowak ex,1,Fighting,Pokemon,,140,Bonemerang 80+,,True,ambiguous_cross_set,4,A1/153 Genetic Apex (Mewtwo) [four_diamond]; A1/264 Genetic Apex (Mewtwo) [double_star]; A3/236 Celestial Guardians (Lunala) [double_star]; A4b/196 Deluxe Pack: ex (Deluxe Pack: ex) [four_diamond],needs_card_number,,,,,
moltres_ex,Moltres ex,1,Fire,Pokemon,,140,Heat Blast 70 / Inferno Dance,,True,ambiguous_cross_set,5,A1/47 Genetic Apex (Charizard) [four_diamond]; A1/255 Genetic Apex (Charizard) [double_star]; A1/274 Genetic Apex (Charizard) [double_star]; A3b/103 Eevee Grove (Eevee Grove) [double_star]; A4b/67 Deluxe Pack: ex (Deluxe Pack: ex) [four_diamond],needs_card_number,,,,,
zygarde_ex,Zygarde ex,1,Fighting,Pokemon,,170,Land Laser 100+,,True,no_match,0,,needs_reference_expansion,,,,,
ivysaur,Ivysaur,1,Grass,Pokemon,,100,Synthesis,,False,ambiguous_cross_set,3,A4b/3 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/4 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; B1a/2 Crimson Blaze (Crimson Blaze) [two_diamond],needs_card_number,,,,,
cyrus,Cyrus,1,,Trainer,Supporter,,,,False,ambiguous_cross_set,4,A2/150 Space-Time Smackdown (Palkia) [two_diamond]; A2/190 Space-Time Smackdown (Palkia) [double_star]; A4b/326 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/327 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond],needs_card_number,,,,,
giant_cape,Giant Cape,2,,Trainer,Pokemon Tool,,,,False,ambiguous_cross_set,3,A2/147 Space-Time Smackdown (Dialga) [two_diamond]; A4b/320 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/321 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond],needs_card_number,,,,,
giovanni,Giovanni,1,,Trainer,Supporter,,,,False,ambiguous_cross_set,4,A1/223 Genetic Apex (Mewtwo) [two_diamond]; A1/270 Genetic Apex (Mewtwo) [double_star]; A4b/334 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/335 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond],needs_card_number,,,,,
hand_scope,Hand Scope,1,,Trainer,Item,,,,False,no_match_known_gap,0,,needs_manual_source_entry,,,,,
leaf,Leaf,1,,Trainer,Supporter,,,,False,ambiguous_cross_set,4,A1a/68 Mythical Island (Mew) [two_diamond]; A1a/82 Mythical Island (Mew) [double_star]; A4b/346 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/347 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond],needs_card_number,,,,,
lillie,Lillie,1,,Trainer,Supporter,,,,False,ambiguous_cross_set,6,A3/155 Celestial Guardians (Solgaleo) [two_diamond]; A3/197 Celestial Guardians (Solgaleo) [double_star]; A3/209 Celestial Guardians (Solgaleo) [triple_star]; A4b/348 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/349 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond] … +1 more,needs_card_number,,,,,
