rank_unified,pack_name,expansion,set_code,unified_score,new_card_ev_10x,new_card_ev,deck_target_ev,missing_rare_plus,rare_plus_ev_10x,cost_per_unique_card_10x,ev_diminishing_returns_ratio,cards_in_pool,owned_in_pool,missing_in_pool
1,Lugia,Wisdom of Sea and Sky,A4,61.64408,61.623648,7.30167,0.0,41,2.372633,1.95,0.844,136,5,131
2,Ho-Oh,Wisdom of Sea and Sky,A4,61.127362,61.114378,7.28407,0.0,40,2.220351,1.96,0.839,136,3,133
3,Solgaleo,Celestial Guardians,A3,59.397811,59.396403,7.05937,0.0,42,2.122299,2.02,0.8414,140,1,139
4,Secluded Springs,Secluded Springs,A4a,58.630726,58.630726,7.39903,0.0,33,2.134224,2.05,0.7924,105,0,105
5,Lunala,Celestial Guardians,A3,58.419044,58.412316,6.92747,0.0,42,2.12329,2.05,0.8432,140,3,137
6,Dialga,Space-Time Smackdown,A2,56.974667,56.969571,6.80334,0.0,27,1.765944,2.11,0.8374,126,1,125
7,Mega Blaziken,Mega Rising,B1,56.283968,56.240816,6.59903,0.0,36,2.086549,2.13,0.8523,139,11,128
8,Mega Gyarados,Mega Rising,B1,56.090909,56.053637,6.58408,0.0,36,2.087544,2.14,0.8514,139,11,128
9,Extradimensional Crisis,Extradimensional Crisis,A3a,55.969771,55.969771,7.08165,0.0,33,2.053251,2.14,0.7903,103,0,103
10,Eevee Grove,Eevee Grove,A3b,55.893673,55.893673,7.06225,0.0,37,2.081725,2.15,0.7914,107,0,107
11,Shining Revelry,Shining Revelry,A2b,55.553146,55.54797,7.02047,0.0,38,2.0619,2.16,0.7912,111,1,110
12,Mega Altaria,Mega Rising,B1,55.18607,55.132014,6.46428,0.0,36,2.087544,2.18,0.8529,139,13,126
13,Palkia,Space-Time Smackdown,A2,54.659101,54.648461,6.55384,0.0,26,1.613662,2.2,0.8338,126,2,124
14,Charizard,Genetic Apex,A1,53.267387,53.249891,6.31526,0.0,21,1.581951,2.25,0.8432,127,7,120
15,Pikachu,Genetic Apex,A1,52.567601,52.548041,6.23066,0.0,21,1.581951,2.28,0.8434,127,9,118
16,Mew,Mythical Island,A1a,52.358484,52.353356,6.74308,0.0,18,1.683922,2.29,0.7764,86,1,85
17,Arceus,Triumphant Light,A2a,51.771093,51.771093,6.63729,0.0,20,1.531342,2.32,0.78,96,0,96
18,Fantastical Parade,Fantastical Parade,B2,50.878882,50.788202,5.62003,0.0,76,2.051134,2.36,0.9037,234,40,194
19,Mewtwo,Genetic Apex,A1,50.143523,50.109195,5.93768,0.0,19,1.430912,2.39,0.8439,126,13,113
20,Paldean Wonders,Paldean Wonders,B2a,36.282682,36.157594,4.19496,0.0,33,1.596863,3.32,0.8619,131,49,82
21,Mega Shine,Mega Shine,B2b,27.973964,27.853876,3.38794,0.0,43,1.647823,4.31,0.8221,117,45,72
22,Crimson Blaze,Crimson Blaze,B1a,27.143523,27.023875,3.09904,0.0,32,2.031333,4.44,0.872,103,52,51
23,Paradox Drive,Paradox Drive,B3A,17.326561,17.280049,1.88178,0.0,26,1.898619,6.94,0.9183,109,72,37
24,Pulsing Aura,Pulsing Aura,B3,14.687087,14.623879,1.52402,0.0,55,1.156416,8.21,0.9596,234,153,81
