pack_name,expansion,set_code,source_status,cards_in_pool,owned_in_pool,missing_in_pool,new_card_ev,copy_ev,ex_card_ev,deck_target_ev,pack_total_ev,confidence_adjusted_ev,top_ev_cards_summary
Arceus,Triumphant Light,A2a,inferred,96,28,68,2.981851,0.3573,0.0,0.0,3.339151,2.838278,"Combee(one_diamond,p=0.0967,ev=0.0967) | Marill(one_diamond,p=0.0967,ev=0.0967) | Azumarill(one_diamond,p=0.0967,ev=0.0967) | Barboach(one_diamond,p=0.0967,ev=0.0967) | Snorunt(one_diamond,p=0.0967,ev=0.0967)"
Charizard,Genetic Apex,A1,inferred,127,34,93,3.465993,0.273871,0.0,0.0,3.739864,3.178884,"Oddish(one_diamond,p=0.0600,ev=0.0600) | Bellsprout(one_diamond,p=0.0600,ev=0.0600) | Skiddo(one_diamond,p=0.0600,ev=0.0600) | Gogoat(one_diamond,p=0.0600,ev=0.0600) | Vulpix(one_diamond,p=0.0600,ev=0.0600)"
Crimson Blaze,Crimson Blaze,B1a,inferred,103,64,39,1.121639,0.635096,0.134892,0.149924,1.756735,1.493225,"Ivysaur(two_diamond,p=0.0625,ev=0.1499) | Squirtle(one_diamond,p=0.0937,ev=0.0937) | Emolga(one_diamond,p=0.0937,ev=0.0937) | Duosion(one_diamond,p=0.0937,ev=0.0937) | Muk(one_diamond,p=0.0937,ev=0.0937)"
Deluxe Pack: ex,Deluxe Pack: ex,A4b,inferred,379,98,281,3.368967,0.406267,0.006661,0.074628,3.775234,3.208949,"Ivysaur(two_diamond,p=0.0150,ev=0.0360) | Ivysaur(two_diamond,p=0.0150,ev=0.0360) | Weedle(one_diamond,p=0.0234,ev=0.0234) | Weedle(one_diamond,p=0.0234,ev=0.0234) | Hoppip(one_diamond,p=0.0234,ev=0.0234)"
Dialga,Space-Time Smackdown,A2,inferred,126,25,101,3.752635,0.136412,0.0,0.0,3.889048,3.305691,"Yanma(one_diamond,p=0.0652,ev=0.0652) | Combee(one_diamond,p=0.0652,ev=0.0652) | Swinub(one_diamond,p=0.0652,ev=0.0652) | Electabuzz(one_diamond,p=0.0652,ev=0.0652) | Shinx(one_diamond,p=0.0652,ev=0.0652)"
Eevee Grove,Eevee Grove,A3b,inferred,107,23,84,3.805878,0.160055,0.0,0.0,3.965933,3.371043,"Bounsweet(one_diamond,p=0.0937,ev=0.0937) | Steenee(one_diamond,p=0.0937,ev=0.0937) | Torkoal(one_diamond,p=0.0937,ev=0.0937) | Torracat(one_diamond,p=0.0937,ev=0.0937) | Salandit(one_diamond,p=0.0937,ev=0.0937)"
Extradimensional Crisis,Extradimensional Crisis,A3a,inferred,103,15,88,4.09093,0.197121,0.0,0.0,4.288051,3.644843,"Petilil(one_diamond,p=0.0937,ev=0.0937) | Lilligant(one_diamond,p=0.0937,ev=0.0937) | Rowlet(one_diamond,p=0.0937,ev=0.0937) | Kartana(one_diamond,p=0.0937,ev=0.0937) | Mantine(one_diamond,p=0.0937,ev=0.0937)"
Fantastical Parade,Fantastical Parade,B2,inferred,234,49,185,3.733986,0.366925,0.206054,0.0,4.100911,3.485774,"Ledian(one_diamond,p=0.0454,ev=0.0454) | Shuckle(one_diamond,p=0.0454,ev=0.0454) | Cacnea(one_diamond,p=0.0454,ev=0.0454) | Chespin(one_diamond,p=0.0454,ev=0.0454) | Scatterbug(one_diamond,p=0.0454,ev=0.0454)"
Ho-Oh,Wisdom of Sea and Sky,A4,inferred,136,31,105,3.801577,0.228529,0.0,0.0,4.030105,3.42559,"Hoppip(one_diamond,p=0.0714,ev=0.0714) | Slugma(one_diamond,p=0.0714,ev=0.0714) | Totodile(one_diamond,p=0.0714,ev=0.0714) | Marill(one_diamond,p=0.0714,ev=0.0714) | Ducklett(one_diamond,p=0.0714,ev=0.0714)"
Lugia,Wisdom of Sea and Sky,A4,inferred,136,23,113,3.953199,0.232585,0.0,0.0,4.185783,3.557916,"Oddish(one_diamond,p=0.0714,ev=0.0714) | Scyther(one_diamond,p=0.0714,ev=0.0714) | Pinsir(one_diamond,p=0.0714,ev=0.0714) | Chikorita(one_diamond,p=0.0714,ev=0.0714) | Ledian(one_diamond,p=0.0714,ev=0.0714)"
Lunala,Celestial Guardians,A3,inferred,140,25,115,3.941136,0.186486,0.0,0.0,4.127622,3.508479,"Maractus(one_diamond,p=0.0681,ev=0.0681) | Rowlet(one_diamond,p=0.0681,ev=0.0681) | Grubbin(one_diamond,p=0.0681,ev=0.0681) | Morelull(one_diamond,p=0.0681,ev=0.0681) | Alolan Vulpix(one_diamond,p=0.0681,ev=0.0681)"
Mega Altaria,Mega Rising,B1,inferred,139,24,115,4.001983,0.137133,0.234432,0.0,4.139116,3.518248,"Cottonee(one_diamond,p=0.0612,ev=0.0612) | Petilil(one_diamond,p=0.0612,ev=0.0612) | Skiddo(one_diamond,p=0.0612,ev=0.0612) | Gogoat(one_diamond,p=0.0612,ev=0.0612) | Grookey(one_diamond,p=0.0612,ev=0.0612)"
Mega Blaziken,Mega Rising,B1,inferred,139,33,106,3.589497,0.257151,0.234432,0.0,3.846648,3.269651,"Pinsir(one_diamond,p=0.0612,ev=0.0612) | Wurmple(one_diamond,p=0.0612,ev=0.0612) | Cascoon(one_diamond,p=0.0612,ev=0.0612) | Growlithe(one_diamond,p=0.0612,ev=0.0612) | Ponyta(one_diamond,p=0.0612,ev=0.0612)"
Mega Gyarados,Mega Rising,B1,inferred,139,35,104,3.623749,0.161805,0.23688,0.005947,3.785554,3.217721,"Pansage(one_diamond,p=0.0612,ev=0.0612) | Simisage(one_diamond,p=0.0612,ev=0.0612) | Magikarp(one_diamond,p=0.0612,ev=0.0612) | Wailmer(one_diamond,p=0.0612,ev=0.0612) | Bergmite(one_diamond,p=0.0612,ev=0.0612)"
Mega Shine,Mega Shine,B2b,inferred,117,23,94,3.696395,0.249313,0.211483,0.0,3.945708,3.353852,"Scyther(one_diamond,p=0.0909,ev=0.0909) | Pineco(one_diamond,p=0.0909,ev=0.0909) | Volbeat(one_diamond,p=0.0909,ev=0.0909) | Illumise(one_diamond,p=0.0909,ev=0.0909) | Phantump(one_diamond,p=0.0909,ev=0.0909)"
Mew,Mythical Island,A1a,inferred,86,13,73,3.99032,0.203122,0.0,0.0,4.193443,3.564426,"Snivy(one_diamond,p=0.0937,ev=0.0937) | Morelull(one_diamond,p=0.0937,ev=0.0937) | Ponyta(one_diamond,p=0.0937,ev=0.0937) | Salandit(one_diamond,p=0.0937,ev=0.0937) | Salazzle(one_diamond,p=0.0937,ev=0.0937)"
Mewtwo,Genetic Apex,A1,inferred,126,42,84,3.179806,0.358635,0.0,0.102806,3.538441,3.007675,"Ivysaur(two_diamond,p=0.0428,ev=0.1028) | Weedle(one_diamond,p=0.0600,ev=0.0600) | Kakuna(one_diamond,p=0.0600,ev=0.0600) | Scyther(one_diamond,p=0.0600,ev=0.0600) | Salandit(one_diamond,p=0.0600,ev=0.0600)"
Paldean Wonders,Paldean Wonders,B2a,inferred,131,4,127,4.845789,0.055785,0.20518,0.0,4.901575,4.166339,"Sprigatito(one_diamond,p=0.0697,ev=0.0697) | Floragato(one_diamond,p=0.0697,ev=0.0697) | Tarountula(one_diamond,p=0.0697,ev=0.0697) | Nymble(one_diamond,p=0.0697,ev=0.0697) | Smoliv(one_diamond,p=0.0697,ev=0.0697)"
Palkia,Space-Time Smackdown,A2,inferred,126,22,104,3.891309,0.153603,0.0,0.0,4.044912,3.438175,"Turtwig(one_diamond,p=0.0681,ev=0.0681) | Kricketot(one_diamond,p=0.0681,ev=0.0681) | Kricketune(one_diamond,p=0.0681,ev=0.0681) | Magmar(one_diamond,p=0.0681,ev=0.0681) | Chimchar(one_diamond,p=0.0681,ev=0.0681)"
Pikachu,Genetic Apex,A1,inferred,127,29,98,3.626876,0.178768,0.0,0.0,3.805644,3.234797,"Caterpie(one_diamond,p=0.0600,ev=0.0600) | Metapod(one_diamond,p=0.0600,ev=0.0600) | Paras(one_diamond,p=0.0600,ev=0.0600) | Growlithe(one_diamond,p=0.0600,ev=0.0600) | Squirtle(one_diamond,p=0.0600,ev=0.0600)"
Pulsing Aura,Pulsing Aura,B3,inferred,234,169,65,0.73474,0.361838,0.169209,0.03405,1.096578,0.932091,"Durant(one_diamond,p=0.0461,ev=0.0461) | Poliwag(one_diamond,p=0.0461,ev=0.0461) | Chinchou(one_diamond,p=0.0461,ev=0.0461) | Rookidee(one_diamond,p=0.0461,ev=0.0461) | Tangrowth(two_diamond,p=0.0294,ev=0.0294)"
Secluded Springs,Secluded Springs,A4a,inferred,105,16,89,3.641218,0.202073,0.0,0.0,3.843291,3.266797,"Hoppip(one_diamond,p=0.0937,ev=0.0937) | Durant(one_diamond,p=0.0937,ev=0.0937) | Slugma(one_diamond,p=0.0937,ev=0.0937) | Fletchinder(one_diamond,p=0.0937,ev=0.0937) | Poliwag(one_diamond,p=0.0937,ev=0.0937)"
Shining Revelry,Shining Revelry,A2b,inferred,111,19,92,3.796254,0.20175,0.0,0.0,3.998004,3.398303,"Weedle(one_diamond,p=0.0937,ev=0.0937) | Pinsir(one_diamond,p=0.0937,ev=0.0937) | Sprigatito(one_diamond,p=0.0937,ev=0.0937) | Magmar(one_diamond,p=0.0937,ev=0.0937) | Tentacool(one_diamond,p=0.0937,ev=0.0937)"
Solgaleo,Celestial Guardians,A3,inferred,140,35,105,3.851101,0.355061,0.0,0.061092,4.206162,3.575237,"Phantump(one_diamond,p=0.0681,ev=0.0681) | Rowlet(one_diamond,p=0.0681,ev=0.0681) | Bounsweet(one_diamond,p=0.0681,ev=0.0681) | Wimpod(one_diamond,p=0.0681,ev=0.0681) | Fletchinder(one_diamond,p=0.0681,ev=0.0681)"
