entry_id,name,count,card_type,type,is_ex,match_status,candidate_count,best_set_code,best_card_number,best_pack_name,best_expansion,base_score,final_score,confidence_tier,next_action,blockers
charmander,Charmander,4,Pokemon,Fire,False,ambiguous_cross_set,3,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
charmander_flame_tail_art,Charmander,2,Pokemon,Fire,False,ambiguous_cross_set,3,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
charmeleon,Charmeleon,2,Pokemon,Fire,False,ambiguous_cross_set,3,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
charizard,Charizard,1,Pokemon,Fire,False,unanimous_pack,2,B1a,13,Crimson Blaze,Crimson Blaze,0.85,0.91,secondary_evidence,needs_secondary_evidence,
mega_charizard_y_ex,Mega Charizard Y ex,2,Pokemon,Fire,True,unanimous_pack,3,B1a,14,Crimson Blaze,Crimson Blaze,0.85,0.91,secondary_evidence,needs_secondary_evidence,
tepig,Tepig,2,Pokemon,Fire,False,unanimous_pack,2,B3,26,Pulsing Aura,Pulsing Aura,0.85,0.91,secondary_evidence,needs_secondary_evidence,
pignite,Pignite,4,Pokemon,Fire,False,exact_match,1,B3,27,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
incineroar_ex,Incineroar ex,1,Pokemon,Fire,True,exact_match,1,B1,318,Mega Gyarados,Mega Rising,0.95,1.0,auto_accept,no_action_needed,
houndour,Houndour,1,Pokemon,Fire,False,exact_match,1,B1a,15,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
houndoom,Houndoom,1,Pokemon,Fire,False,exact_match,1,B1a,16,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
moltres_ex,Moltres ex,1,Pokemon,Fire,True,ambiguous_cross_set,5,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
hearthflame_mask_ogerpon,Hearthflame Mask Ogerpon,1,Pokemon,Fire,False,exact_match,1,B2,27,Fantastical Parade,Fantastical Parade,0.95,1.0,auto_accept,no_action_needed,
victini,Victini,4,Pokemon,Fire,False,exact_match,1,B3,25,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
turtonator,Turtonator,2,Pokemon,Fire,False,exact_match,1,B1,47,Mega Gyarados,Mega Rising,0.95,1.0,auto_accept,no_action_needed,
arcanine,Arcanine,1,Pokemon,Fire,False,exact_match,1,B1,29,Mega Blaziken,Mega Rising,0.95,1.0,auto_accept,no_action_needed,
darumaka,Darumaka,2,Pokemon,Fire,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
darmanitan,Darmanitan,3,Pokemon,Fire,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
larvesta,Larvesta,3,Pokemon,Fire,False,exact_match,1,B3,31,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
numel,Numel,2,Pokemon,Fire,False,exact_match,1,B3,21,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
castform_sunny_form,Castform Sunny Form,1,Pokemon,Fire,False,exact_match,1,B3,24,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
mega_camerupt_ex,Mega Camerupt ex,1,Pokemon,Fire,True,unanimous_pack,3,B3,23,Pulsing Aura,Pulsing Aura,0.85,0.91,secondary_evidence,needs_secondary_evidence,
