slot_index,screenshot_filename,screenshot_index,slot_position,is_final_screenshot,aligned_entry_index,entry_id,card_name,count,card_type,type,hp,stage,is_ex,variant,confidence_score,confidence_tier,evidence,warnings
0,IMG_1556.jpg,1,r1c1,False,0,charmander,Charmander,4,Pokemon,Fire,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
1,IMG_1556.jpg,1,r1c2,False,1,charmander_flame_tail_art,Charmander,2,Pokemon,Fire,70,Basic,False,Flame Tail art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
2,IMG_1556.jpg,1,r1c3,False,2,charmeleon,Charmeleon,2,Pokemon,Fire,80,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
3,IMG_1556.jpg,1,r2c1,False,3,charizard,Charizard,1,Pokemon,Fire,150,Stage 2,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
4,IMG_1556.jpg,1,r2c2,False,4,mega_charizard_y_ex,Mega Charizard Y ex,2,Pokemon,Fire,220,Stage 2,True,,0.7,low,sequential_order_alignment,no_ocr_name_verification
5,IMG_1556.jpg,1,r2c3,False,5,tepig,Tepig,2,Pokemon,Fire,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
6,IMG_1556.jpg,1,r3c1,False,6,pignite,Pignite,4,Pokemon,Fire,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
7,IMG_1556.jpg,1,r3c2,False,7,incineroar_ex,Incineroar ex,1,Pokemon,Fire,180,Stage 2,True,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
8,IMG_1556.jpg,1,r3c3,False,8,houndour,Houndour,1,Pokemon,Fire,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
9,IMG_1557.jpg,2,r1c1,False,9,houndoom,Houndoom,1,Pokemon,Fire,90,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
10,IMG_1557.jpg,2,r1c2,False,10,moltres_ex,Moltres ex,1,Pokemon,Fire,140,Basic,True,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
11,IMG_1557.jpg,2,r1c3,False,11,hearthflame_mask_ogerpon,Hearthflame Mask Ogerpon,1,Pokemon,Fire,80,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
12,IMG_1557.jpg,2,r2c1,False,12,victini,Victini,4,Pokemon,Fire,70,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
13,IMG_1557.jpg,2,r2c2,False,13,turtonator,Turtonator,2,Pokemon,Fire,110,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
14,IMG_1557.jpg,2,r2c3,False,14,arcanine,Arcanine,1,Pokemon,Fire,120,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
15,IMG_1557.jpg,2,r3c1,False,15,darumaka,Darumaka,2,Pokemon,Fire,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
16,IMG_1557.jpg,2,r3c2,False,16,darmanitan,Darmanitan,3,Pokemon,Fire,120,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
17,IMG_1557.jpg,2,r3c3,False,17,larvesta,Larvesta,3,Pokemon,Fire,80,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
18,IMG_1558.jpg,3,r1c1,False,18,numel,Numel,2,Pokemon,Fire,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
19,IMG_1558.jpg,3,r1c2,False,19,castform_sunny_form,Castform Sunny Form,1,Pokemon,Fire,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
20,IMG_1558.jpg,3,r1c3,False,20,mega_camerupt_ex,Mega Camerupt ex,1,Pokemon,Fire,210,Stage 1,True,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
21,IMG_1558.jpg,3,r2c1,False,21,blaziken,Blaziken,1,Pokemon,Fire,140,Stage 2,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
22,IMG_1558.jpg,3,r2c2,False,22,bulbasaur,Bulbasaur,1,Pokemon,Grass,70,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
23,IMG_1558.jpg,3,r2c3,False,23,bulbasaur_alt_art,Bulbasaur,1,Pokemon,Grass,70,Basic,False,alt art,0.7,low,sequential_order_alignment,no_ocr_name_verification
24,IMG_1558.jpg,3,r3c1,False,24,bulbasaur_tackle_art,Bulbasaur,3,Pokemon,Grass,60,Basic,False,Tackle art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
25,IMG_1558.jpg,3,r3c2,False,25,ivysaur,Ivysaur,1,Pokemon,Grass,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
26,IMG_1558.jpg,3,r3c3,False,26,mega_venusaur_ex,Mega Venusaur ex,2,Pokemon,Grass,240,Stage 2,True,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
27,IMG_1559.jpg,4,r1c1,False,27,shroomish,Shroomish,3,Pokemon,Grass,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
28,IMG_1559.jpg,4,r1c2,False,28,budew,Budew,1,Pokemon,Grass,30,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
29,IMG_1559.jpg,4,r1c3,False,29,breloom,Breloom,1,Pokemon,Grass,90,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
30,IMG_1559.jpg,4,r2c1,False,30,treecko,Treecko,2,Pokemon,Grass,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
31,IMG_1559.jpg,4,r2c2,False,31,surskit,Surskit,1,Pokemon,Grass,50,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
32,IMG_1559.jpg,4,r2c3,False,32,masquerain,Masquerain,1,Pokemon,Grass,90,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
33,IMG_1559.jpg,4,r3c1,False,33,carnivine,Carnivine,1,Pokemon,Grass,80,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
34,IMG_1559.jpg,4,r3c2,False,34,sewaddle,Sewaddle,2,Pokemon,Grass,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
35,IMG_1559.jpg,4,r3c3,False,35,swadloon,Swadloon,2,Pokemon,Grass,80,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
36,IMG_1560.jpg,5,r1c1,False,36,applin,Applin,4,Pokemon,Grass,40,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
37,IMG_1560.jpg,5,r1c2,False,37,leavanny,Leavanny,1,Pokemon,Grass,140,Stage 2,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
38,IMG_1560.jpg,5,r1c3,False,38,silcoon,Silcoon,1,Pokemon,Grass,80,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
39,IMG_1560.jpg,5,r2c1,False,39,seedot,Seedot,1,Pokemon,Grass,50,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
40,IMG_1560.jpg,5,r2c2,False,40,mothim,Mothim,3,Pokemon,Grass,100,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
41,IMG_1560.jpg,5,r2c3,False,41,burmy,Burmy,1,Pokemon,Grass,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
42,IMG_1560.jpg,5,r3c1,False,42,tangela,Tangela,3,Pokemon,Grass,80,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
43,IMG_1560.jpg,5,r3c2,False,43,venonat,Venonat,1,Pokemon,Grass,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
