screenshot,row,column,crop_id,auto_fill,proposed_card_name,score,top_3,reason
IMG_1530.PNG,1,1,IMG_1530_r1c1,False,,66.7,Leaf (67); Golem (57); Gible (57),score 67 below threshold
IMG_1530.PNG,1,2,IMG_1530_r1c2,False,,18.2,Porygon2 (18); Quick-Grow Extract (0); Blaziken (0),score 18 below threshold
IMG_1530.PNG,1,3,IMG_1530_r1c3,False,,66.7,N (67); Mienfoo (44); Nuzleaf (44),score 67 below threshold
IMG_1530.PNG,2,1,IMG_1530_r2c1,False,,73.7,Steelix (74); Steelix ex (64); Mega Steelix ex (52),score 74 below threshold
IMG_1530.PNG,2,2,IMG_1530_r2c2,False,,72.0,Probopass (72); Aromatisse (46); Lapras (46),score 72 below threshold
IMG_1530.PNG,2,3,IMG_1530_r2c3,False,,66.7,Maxie (67); Ice Heal (67); Dive Ball (62),score 67 below threshold
IMG_1530.PNG,3,1,IMG_1530_r3c1,False,,69.6,Porygon2 (70); Porygon-Z (67); Porygon-Z ex (67),score 70 below threshold
IMG_1530.PNG,3,2,IMG_1530_r3c2,False,,60.0,Solosis (60); Nosepass (54); Sandslash (50),score 60 below threshold
IMG_1530.PNG,3,3,IMG_1530_r3c3,False,Bouffalant,83.3,Bouffalant (83); Rufflet (48); Salandit (46),score 83 < 90 or name not in OCR
IMG_1531.PNG,1,1,IMG_1531_r1c1,False,,63.6,Furfrou (64); Castform Snowy Form (47); Murkrow (46),score 64 below threshold
IMG_1531.PNG,1,2,IMG_1531_r1c2,True,Clemont's Backpack,100.0,Clemont's Backpack (100); Blacephalon ex (56); Clemont (56),score 100 >= 95
IMG_1531.PNG,1,3,IMG_1531_r1c3,True,Quick-Grow Extract,100.0,Quick-Grow Extract (100); Leaf Extract (53); Quick Ball (50),score 100 >= 95
IMG_1531.PNG,2,1,IMG_1531_r2c1,True,Clemont,100.0,Clemont (100); Calem (67); Cramorant (62),score 100 >= 95
IMG_1531.PNG,2,2,IMG_1531_r2c2,True,Serena,100.0,Serena (100); Seadra (67); Cheren (67),score 100 >= 95
IMG_1531.PNG,2,3,IMG_1531_r2c3,False,,44.4,Abra (44); Lana (44); Hala (44),score 44 below threshold
IMG_1531.PNG,3,1,IMG_1531_r3c1,False,,57.1,Nessa (57); Surskit (44); Shellos (44),score 57 below threshold
IMG_1531.PNG,3,2,IMG_1531_r3c2,False,,72.7,Doublade (73); Mega Blaziken ex (47); Blastoise ex (46),score 73 below threshold
IMG_1531.PNG,3,3,IMG_1531_r3c3,False,,57.1,Misty (57); Scott (57); Staryu (50),score 57 below threshold
IMG_1532.PNG,1,1,IMG_1532_r1c1,False,,50.0,Hop (50); Opal (40); Hapu (40),score 50 below threshold
IMG_1532.PNG,1,2,IMG_1532_r1c2,False,Leavanny,80.0,Leavanny (80); Penny (47); Heavy Ball (46),score 80 < 90 or name not in OCR
IMG_1532.PNG,1,3,IMG_1532_r1c3,False,,60.0,Raichu (60); Raihan (60); Tabitha (54),score 60 below threshold
IMG_1532.PNG,2,1,IMG_1532_r2c1,False,,53.3,Claw Fossil (53); Armor Fossil (50); Nosepass (50),score 53 below threshold
IMG_1532.PNG,2,2,IMG_1532_r2c2,False,,75.0,Poliwhirl (75); Power Plant (54); Poliwrath (50),score 75 below threshold
IMG_1532.PNG,2,3,IMG_1532_r2c3,False,Paldean Tauros,80.0,Paldean Tauros (80); Tauros ex (53); Alolan Marowak (51),score 80 < 90 or name not in OCR
IMG_1532.PNG,3,1,IMG_1532_r3c1,False,,69.6,Quagsire (70); Squirtle (44); Sandshrew (42),score 70 below threshold
IMG_1532.PNG,3,2,IMG_1532_r3c2,False,,52.6,Heal Ball (53); Cacnea (50); Tangela (47),score 53 below threshold
IMG_1532.PNG,3,3,IMG_1532_r3c3,False,,69.6,Gorebyss (70); Colress (46); Gourgeist (42),score 70 below threshold
IMG_1533.PNG,1,1,IMG_1533_r1c1,False,,72.7,Magneton (73); Magnezone ex (62); Magnezone (61),score 73 below threshold
IMG_1533.PNG,1,2,IMG_1533_r1c2,False,,52.6,Aero Ball (53); Petilil (47); Quaxwell (44),score 53 below threshold
IMG_1533.PNG,1,3,IMG_1533_r1c3,False,,0.0,,score 0 below threshold
IMG_1533.PNG,2,1,IMG_1533_r2c1,False,,0.0,,score 0 below threshold
IMG_1533.PNG,2,2,IMG_1533_r2c2,False,,0.0,,score 0 below threshold
